,Sample_ID,Concentration_N,Concentration_U,RAU
0,RV2_01,11.294133198603074,40.21603873494849,0.7807397495552418
1,RV2_02,29.76600360700352,56.922103006516195,0.6566310562104113
2,RV2_03,43.07492887019887,101.92619451359653,0.7029338265457004
3,RV2_04,47.6642134437145,66.21272038203088,0.5814410184537429
4,RV2_05,8.19636611148002,19.162988351901426,0.7004181468371167
5,RV2_06,8.540562454493692,18.992518308314,0.6898072348652506
6,RV2_07,10.376276283899946,51.29659156813115,0.8317529791415688
7,RV2_08,55.12180087567741,77.80468334597582,0.5853211555361496
8,RV2_09,23.22627308974373,159.71553928973378,0.8730401060990622
9,RV2_10,33.43743126581602,39.022748429836504,0.5385405969698112
10,RV2_11,15.424489314767143,55.89928274499164,0.7837398546189663
11,RV2_12,44.10751789923988,39.87509864777364,0.4748018136045039
12,RV2_13,10.60574051257573,32.71535681710175,0.7551830132125906
13,RV2_14,29.192343035314064,27.94219559665384,0.48905961727709885
14,RV2_15,22.99680886106795,40.983153931091906,0.6405623283062304
15,RV2_16,36.87939469595275,50.69994641557516,0.5789030354888297
16,RV2_17,8.19636611148002,71.41205671144736,0.8970414709796329
17,RV2_18,51.56510533120279,80.19126395619978,0.6086329214284671
18,RV2_19,11.064668969927292,29.646896032528097,0.7282180390446803
19,RV2_20,10.83520474125151,42.2616792579976,0.795935205135489
20,RV2_21,27.356629205907808,30.414011228671512,0.5264613824579801
21,RV2_22,41.12448292645472,48.483835848938625,0.5410640051228414
22,RV2_23,7.049044968101109,20.526748700600827,0.7443756269433631
23,RV2_24,45.71376749997036,68.08789086149257,0.5983031516573173
24,RV2_25,8.884758797507365,60.842914009026984,0.8725791577447463
25,RV2_26,16.686542572483944,63.570434706425786,0.7920860822543225
26,RV2_27,70.03697573960324,124.34300524534301,0.6396903869178419
27,RV2_28,27.586093434583592,69.0254761012234,0.7144638725245075
28,RV_01,73.58837592717578,192.21972970248135,0.7231522501811726
29,RV_02,103.19241436740504,229.92406856437893,0.6902212299457517
30,RV_03,50.047815239764546,366.17593369368103,0.8797574252598277
31,RV_04,116.03272019690208,127.68907639361021,0.5239132411622021
32,RV_05,81.67301293093315,93.02689690198801,0.5324953916172981
33,RV_06,80.84077088642873,213.0539120564883,0.7249328566378644
34,RV_07,103.667981249979,181.71045187789377,0.6367350534736194
35,RV_08,88.33094928696866,189.8228768652947,0.6824384891307743
36,RV_09,67.40600645371424,197.56655526235926,0.7456113719203049
37,RV_10,99.9823379100308,189.7306902177106,0.6548918129220402
38,RV_11,78.22515303227192,115.79699885526111,0.5968235983816119
39,RV_12,79.77074540063731,241.44739951239163,0.751661770469923
40,RV_13,110.92037620923197,134.60307496241782,0.548228995316274
41,RV_14,72.99391732395831,205.9555401925125,0.7383256523463634
42,RV_15,42.43874511858112,213.69921858957704,0.8343129440705028
43,RV_16,65.50373892341837,199.5024748616254,0.7528218754276047
44,RV_17,60.0347197738178,117.27198521660674,0.6614075041490396
45,RV_18,75.37175173682814,147.14045903385565,0.661269143496558
46,RV_19,75.60953517811511,155.0685107260884,0.672229167358586
47,RV_20,157.16925553954997,113.49233266565855,0.41931451528915004
48,RV_21,75.25286001618466,189.17757033220602,0.7154152798638265
49,RV_22,86.19089831538584,146.21859255801462,0.6291420888558451
50,RV_23,111.03926792987545,107.40801392510784,0.4916884889252634
51,RV_24,136.71987958886953,146.31077920559875,0.516943216783617
52,RV_25,53.2578916971388,139.21240734162288,0.7232929342183171
53,RV_26,104.38133157383996,92.75033695923568,0.47049942634495384
54,RV_27,90.4710002585515,131.00779570663786,0.5915139421618891
55,RV_28,84.64530594702043,135.52494143825885,0.615546119640324
